id,education_level,stream_or_subject_interest,recommended_degree_or_course,career_field,entry_level_job,mid_level_job,senior_level_job,key_skills_required,recommended_soft_skills,typical_university_subjects,certifications_or_extra_training,industry_growth_in_sri_lanka,global_demand_level,average_starting_salary_lkr,future_salary_range_lkr,remote_work_possibility,freelance_opportunity,automation_risk,job_description
11,Career Switcher,Healthcare Caregiving Interest,BSc Nursing,Healthcare - Nursing,Assistant Nurse,Staff Nurse,Matron,Patient Care|First Aid|Infection Control,Communication|Patience|Resilience,Psychology|Pharmacology|Nursing Foundations,Specialized Nursing Certifications|BLS,High,Very High,90000,120000-440000,No,Low,Low,"Provide care to patients, administer medications, and assist doctors in medical treatments."
12,Graduate,Background in Marketing & Digital Media,BSc Digital Marketing,Marketing,Marketing Assistant,Digital Marketing Executive,Chief Marketing Officer,Google Analytics|SEO/SEM|Social Media Ads,Creativity|Adaptability|Communication,Consumer Behavior|Digital Strategy|Market Research,Meta Blueprint|HubSpot Inbound Marketing,High,High,80000,110000-430000,Yes,High,Medium,Promote products and services using digital channels to reach target audiences effectively.
13,Graduate,Background in Human Resource Management,BSc Human Resource Management,Human Resources,Recruitment Trainee,Employee Relations Manager,HR Director,Labor Law Knowledge|Recruitment|Payroll Management,Communication|Conflict Resolution|Negotiation,Labor Law|Organizational Behavior|Compensation,PHR|CIPM,Medium,Medium,95000,125000-260000,Yes,Low,Medium,"Manage the recruitment, development, and wellbeing of an organization's employees."
14,Diploma Holder,Background in Logistics & Supply Chain,BSc Supply Chain Management,Logistics,Logistics Coordinator,Logistics Analyst,Chief Supply Chain Officer,Freight Forwarding|Inventory Management|Data Analysis,Time Management|Leadership|Negotiation,Global Supply Chain|Inventory Control|Procurement,CSCP|CIPS,High,High,75000,105000-480000,No,Low,Medium,Oversee the movement of goods from suppliers to consumers efficiently and cost-effectively.
15,Graduate,Background in Agriculture,BSc Agriculture,Agriculture & Agri-Business,Field Officer,Agricultural Officer,Estate Superintendent,"Pest Control|Agri-Tech (IoT, Drones)|Crop Management",Physical Endurance|Problem Solving|Adaptability,Agricultural Economics|Soil Science|Plant Biotechnology,GAP Certification|Pesticide Application License,Medium,Low,80000,110000-180000,No,Low,Medium,"Manage farming operations, improve crop yields, and implement sustainable agricultural practices."
16,A/L Completed,Arts Stream - History focus,BA Graphic Design / Diploma in Multimedia,Design,Junior Graphic Designer,Art Director,Creative Director,Adobe Illustrator|Color Theory|Typography,Creativity|Time Management|Receptivity to Feedback,Visual Communication|Design Principles|Digital Art,Google UX Design|Adobe Certified Professional,High,High,60000,90000-220000,Yes,High,High,"Create visual concepts to communicate ideas that inspire, inform, and captivate consumers."
17,A/L Pending,Commerce Stream - Accounting focus,BSc Digital Marketing,Marketing,SEO Trainee,Content Strategist,Chief Marketing Officer,Content Creation|Google Analytics|Social Media Ads,Empathy|Adaptability|Communication,Market Research|Digital Strategy|Consumer Behavior,HubSpot Inbound Marketing|Meta Blueprint,High,High,85000,115000-600000,Yes,High,Medium,Promote products and services using digital channels to reach target audiences effectively.
18,Career Switcher,Psychology & Counseling Interest,BA/BSc Psychology,Psychology,Assistant Psychologist,Clinical Psychologist,Chief HR Officer,Psychological Assessment|Therapy Techniques (CBT)|Research Methodology,Empathy|Active Listening|Confidentiality,Abnormal Psychology|Counseling|Developmental Psychology,Clinical Psychology Masters|Counseling Diploma,Medium,High,90000,120000-210000,Yes,High,Low,Study human behavior and help individuals navigate mental health and emotional challenges.
19,Diploma Holder,Background in Data Analysis & AI,BSc Data Science,Data Science,Data Analyst,Machine Learning Engineer,Chief Data Officer,Statistics|Machine Learning|SQL,Presentation|Curiosity|Analytical Thinking,Probability|Deep Learning|Linear Algebra,IBM Data Science|Google Data Analytics,High,Very High,190000,220000-470000,Yes,High,Low,Analyze complex data sets to help companies make data-driven decisions and build predictive models.
20,Graduate,Background in Mechanical Systems,BSc Mechanical Engineering,Mechanical Engineering,Junior Mechanical Engineer,Mechanical Engineer,Senior Mechanical Engineer,Robotics|Thermodynamics|CAD/CAM,Analytical Thinking|Troubleshooting|Innovation,Thermodynamics|Machine Design|Fluid Mechanics,Chartered Engineer (CEng)|SolidWorks Certification,Medium,High,110000,140000-230000,No,Low,Medium,"Design, develop, build, and test mechanical and thermal sensors and devices."
21,A/L Pending,Arts Stream - Logic/Media focus,BSc Hospitality Management,Tourism,Tour Guide,Hotel Manager,General Manager (Hotel),Property Management Systems|Event Planning|Inventory Management,Customer Service|Interpersonal Skills|Problem Solving,Hospitality Operations|Food & Beverage Management|HR in Hospitality,Food Safety Certification|Language Diplomas,High,Medium,50000,80000-360000,No,Medium,High,"Manage operations in hotels, resorts, and coordinate travel experiences for tourists."
22,Undergraduate,Background in Healthcare Caregiving,BSc Nursing,Healthcare - Nursing,Assistant Nurse,Registered Nurse,Nursing Sister,Infection Control|First Aid|Vital Signs Monitoring,Communication|Patience|Empathy,Psychology|Nursing Foundations|Medical-Surgical Nursing,ACLS|Specialized Nursing Certifications,High,Very High,90000,120000-310000,No,Low,Low,"Provide care to patients, administer medications, and assist doctors in medical treatments."
23,A/L Completed,Technology Stream - SFT focus,BSc Information Technology / Diploma in Networking,IT Infrastructure,IT Technician,Network Engineer,Network Architect,Linux/Windows Server|Routing & Switching|Cloud Computing (AWS/Azure),Troubleshooting|Communication|Customer Service,Operating Systems|Computer Networks|System Administration,CCNA|CCNP,High,High,105000,135000-490000,Yes,Low,Medium,"Design, install, and maintain the computer networks and systems that organizations rely on."
24,Undergraduate,Background in Construction & Structures,BSc Civil Engineering,Civil Engineering,Structural Trainee,Civil Engineer,Construction Manager,AutoCAD|Project Management|Surveying,Problem Solving|Teamwork|Leadership,Materials Science|Structural Design|Fluid Mechanics,PMP|Chartered Engineer (CEng),Medium,Medium,125000,155000-610000,No,Low,Low,"Design, build, and supervise infrastructure projects and systems."
25,Undergraduate,Background in Education & Teaching,BA/BSc / BEd Education,Education,Tutor,Lecturer,Professor,Curriculum Development|Lesson Planning|Student Assessment,Empathy|Mentorship|Public Speaking,Educational Psychology|Teaching Methodology|Curriculum Design,TEFL/TESOL|Postgraduate Diploma in Education (PGDE),Medium,High,55000,85000-350000,Medium,High,Low,"Educate and mentor students, preparing them for academic and personal success."
26,Diploma Holder,Background in Law & Justice,LLB Law,Legal Services,Legal Assistant,Corporate Counsel,Senior Counsel,Compliance|Drafting Contracts|Legal Research,Analytical Thinking|Public Speaking|Negotiation,Constitutional Law|Corporate Law|Contract Law,Attorney-at-Law (Sri Lanka Law College)|Notary Public,Medium,Medium,85000,115000-610000,No,Medium,Medium,"Advise and represent clients in legal matters, draft documents, and ensure legal compliance."
27,Career Switcher,Architecture & Built Environment Interest,BArch Architecture,Architecture,Architect Assistant,Project Architect,Design Director,Building Codes|SketchUp|AutoCAD,Visualization|Attention to Detail|Communication,Architectural Design|History of Architecture|Structural Design,Chartered Architect (AIA)|LEED Green Associate,Medium,Medium,90000,120000-550000,Medium,High,Medium,"Design buildings and structures that are functional, safe, and aesthetically pleasing."
28,A/L Completed,Arts Stream - Logic/Media focus,LLB Law,Legal Services,Apprentice,Attorney-at-Law,Senior Counsel,Legal Research|Drafting Contracts|Litigation,Negotiation|Argumentation|Analytical Thinking,Corporate Law|Contract Law|Constitutional Law,Attorney-at-Law (Sri Lanka Law College)|Notary Public,Medium,Medium,65000,95000-440000,No,Medium,Medium,"Advise and represent clients in legal matters, draft documents, and ensure legal compliance."
29,Career Switcher,Law & Justice Interest,LLB Law,Legal Services,Apprentice,Attorney-at-Law,Judge,Compliance|Litigation|Drafting Contracts,Negotiation|Public Speaking|Argumentation,Constitutional Law|Contract Law|Criminal Law,Attorney-at-Law (Sri Lanka Law College)|Notary Public,Medium,Medium,85000,115000-680000,No,Medium,Medium,"Advise and represent clients in legal matters, draft documents, and ensure legal compliance."
30,A/L Pending,Arts Stream - Languages focus,BBA Business Management,Business Operations,Business Coordinator,Project Manager,General Manager,Strategic Planning|Budgeting|Project Management,Decision Making|Leadership|Negotiation,HR|Marketing|Strategic Management,Agile PM|Certified Business Analysis Professional (CBAP),Medium,High,120000,150000-440000,Yes,Medium,Low,Oversee the day-to-day operations of a company to ensure efficiency and profitability.
31,Graduate,Background in Agriculture,BSc Agriculture,Agriculture & Agri-Business,Farm Supervisor,Agricultural Officer,Estate Superintendent,"Crop Management|Agri-Tech (IoT, Drones)|Pest Control",Physical Endurance|Problem Solving|Team Management,Crop Science|Agricultural Economics|Plant Biotechnology,GAP Certification|Pesticide Application License,Medium,Low,50000,80000-320000,No,Low,Medium,"Manage farming operations, improve crop yields, and implement sustainable agricultural practices."
32,Graduate,Background in Architecture & Built Environment,BArch Architecture,Architecture,Junior Draftsman,Interior Designer,Senior Architect,Revit|SketchUp|3D Rendering,Creativity|Visualization|Attention to Detail,History of Architecture|Architectural Design|Building Materials,Chartered Architect (AIA)|LEED Green Associate,Medium,Medium,85000,115000-210000,Medium,High,Medium,"Design buildings and structures that are functional, safe, and aesthetically pleasing."
33,O/L Completed,Construction & Structures Interest,BSc Civil Engineering,Civil Engineering,Junior Civil Engineer,Project Engineer,Senior Civil Engineer,AutoCAD|Surveying|Structural Analysis,Leadership|Teamwork|Risk Management,Geotechnical Engineering|Structural Design|Materials Science,Chartered Engineer (CEng)|AutoCAD Certification,Medium,Medium,85000,115000-240000,No,Low,Low,"Design, build, and supervise infrastructure projects and systems."
34,O/L Completed,Law & Justice Interest,LLB Law,Legal Services,Legal Assistant,Corporate Counsel,Senior Counsel,Legal Research|Drafting Contracts|Litigation,Analytical Thinking|Argumentation|Public Speaking,Criminal Law|Constitutional Law|Corporate Law,Attorney-at-Law (Sri Lanka Law College)|Notary Public,Medium,Medium,70000,100000-310000,No,Medium,Medium,"Advise and represent clients in legal matters, draft documents, and ensure legal compliance."
35,A/L Completed,Biological Science Stream - Physics/Agri focus,MBBS Medicine,Healthcare - Medical,Junior Doctor,Medical Officer,Chief Medical Officer,Pharmacology|Diagnosis|Patient Care,Decision Making Under Pressure|Empathy|Ethics,Physiology|Anatomy|Pediatrics,USMLE|MD/MS (Sri Lanka),Very High,Very High,210000,240000-1260000,No,Low,Low,"Diagnose and treat illnesses, injuries, and health conditions in patients."
36,Undergraduate,Background in Data Analysis & AI,BSc Data Science,Data Science,BI Analyst,Data Engineer,Senior Data Scientist,Machine Learning|Data Viz|SQL,Business Acumen|Analytical Thinking|Presentation,Big Data|Deep Learning|Linear Algebra,IBM Data Science|AWS Machine Learning,High,Very High,165000,195000-940000,Yes,High,Low,Analyze complex data sets to help companies make data-driven decisions and build predictive models.
37,Diploma Holder,Background in Marketing & Digital Media,BSc Digital Marketing,Marketing,SEO Trainee,Content Strategist,Head of Digital,SEO/SEM|Content Creation|Social Media Ads,Communication|Empathy|Adaptability,Consumer Behavior|Digital Strategy|Brand Management,Google Digital Garage|HubSpot Inbound Marketing,High,High,70000,100000-250000,Yes,High,Medium,Promote products and services using digital channels to reach target audiences effectively.
38,Career Switcher,Cybersecurity Interest,BSc Cyber Security,Information Security,SOC Analyst,Cyber Security Specialist,Cyber Security Manager,Risk Assessment|Network Security|Ethical Hacking,Calm Under Pressure|Perseverance|Ethics,Cryptography|Malware Analysis|Network Protocols,CISSP|CEH,Very High,Very High,205000,235000-550000,Yes,High,Low,Protect computer systems and networks from cyber attacks and unauthorized access.
39,O/L Completed,Cybersecurity Interest,BSc Cyber Security,Information Security,Security Analyst Trainee,Penetration Tester,Security Architect,Linux|Network Security|Risk Assessment,Calm Under Pressure|Perseverance|Ethics,Network Protocols|Malware Analysis|Digital Forensics,CISM|CompTIA Security+,Very High,Very High,195000,225000-1030000,Yes,High,Low,Protect computer systems and networks from cyber attacks and unauthorized access.
40,Diploma Holder,Background in Education & Teaching,BA/BSc / BEd Education,Education,Trainee Teacher,Teacher,Dean,Student Assessment|Lesson Planning|Educational Technology,Empathy|Public Speaking|Mentorship,Subject-Specific Focus|Educational Psychology|Teaching Methodology,TEFL/TESOL|Postgraduate Diploma in Education (PGDE),Medium,High,65000,95000-270000,Medium,High,Low,"Educate and mentor students, preparing them for academic and personal success."
41,Career Switcher,Data Analysis & AI Interest,BSc Data Science,Data Science,Data Analyst,Machine Learning Engineer,AI Research Scientist,SQL|Data Viz|Statistics,Curiosity|Analytical Thinking|Presentation,Probability|Deep Learning|Linear Algebra,IBM Data Science|Google Data Analytics,High,Very High,170000,200000-470000,Yes,High,Low,Analyze complex data sets to help companies make data-driven decisions and build predictive models.
42,Undergraduate,Background in Agriculture,BSc Agriculture,Agriculture & Agri-Business,Agricultural Assistant,Agricultural Officer,Senior Agronomist,"Pest Control|Agri-Tech (IoT, Drones)|Crop Management",Problem Solving|Team Management|Adaptability,Soil Science|Crop Science|Plant Biotechnology,Pesticide Application License|GAP Certification,Medium,Low,50000,80000-420000,No,Low,Medium,"Manage farming operations, improve crop yields, and implement sustainable agricultural practices."
43,Graduate,Background in Cybersecurity,BSc Cyber Security,Information Security,Junior Penetration Tester,Security Engineer,Security Architect,Network Security|Ethical Hacking|Linux,Perseverance|Analytical Thinking|Calm Under Pressure,Digital Forensics|Network Protocols|Malware Analysis,CompTIA Security+|CEH,Very High,Very High,195000,225000-480000,Yes,High,Low,Protect computer systems and networks from cyber attacks and unauthorized access.
44,A/L Completed,Biological Science Stream - Chemistry focus,MBBS Medicine,Healthcare - Medical,Pre-Intern Medical Officer,General Practitioner,Consultant Specialist,Medical Procedures|Pharmacology|Diagnosis,Communication|Ethics|Decision Making Under Pressure,Pediatrics|Surgery|Pathology,MD/MS (Sri Lanka)|MRCP,Very High,Very High,235000,265000-1210000,No,Low,Low,"Diagnose and treat illnesses, injuries, and health conditions in patients."
45,Career Switcher,Law & Justice Interest,LLB Law,Legal Services,Apprentice,Attorney-at-Law,Judge,Legal Research|Litigation|Drafting Contracts,Public Speaking|Negotiation|Argumentation,Corporate Law|Constitutional Law|Contract Law,Notary Public|Attorney-at-Law (Sri Lanka Law College),Medium,Medium,95000,125000-650000,No,Medium,Medium,"Advise and represent clients in legal matters, draft documents, and ensure legal compliance."
46,O/L Completed,Data Analysis & AI Interest,BSc Data Science,Data Science,Data Analyst,Machine Learning Engineer,Chief Data Officer,Machine Learning|Statistics|Data Viz,Curiosity|Presentation|Analytical Thinking,Deep Learning|Big Data|Probability,Google Data Analytics|AWS Machine Learning,High,Very High,185000,215000-400000,Yes,High,Low,Analyze complex data sets to help companies make data-driven decisions and build predictive models.
47,A/L Pending,Arts Stream - Languages focus,BA/BSc Psychology,Psychology,Counseling Trainee,Clinical Psychologist,Consultant Psychologist,Psychological Assessment|Research Methodology|Therapy Techniques (CBT),Empathy|Active Listening|Confidentiality,Counseling|Developmental Psychology|Cognitive Psychology,Mental Health First Aid|Clinical Psychology Masters,Medium,High,55000,85000-210000,Yes,High,Low,Study human behavior and help individuals navigate mental health and emotional challenges.
48,A/L Completed,Commerce Stream - Accounting focus,BSc Accounting and Finance,Finance,Accounts Assistant,Accountant,Finance Manager,Taxation|Excel|Financial Reporting,Analytical Thinking|Ethics|Integrity,Management Accounting|Corporate Finance|Economics,CIMA|CA Sri Lanka,High,High,75000,105000-520000,Yes,Medium,High,"Manage financial records, analyze financial data, and ensure legal tax compliance for organizations."
49,Diploma Holder,Background in IT / Programming,BSc Computer Science,Software Engineering,Junior Software Developer,Full Stack Developer,Software Architect,Problem Solving|Programming|Git,Critical Thinking|Communication|Teamwork,Math for CS|Software Patterns|Databases,Azure Fundamentals|AWS Certified Developer,Very High,Very High,125000,155000-520000,Yes,High,Medium,"Design, build, and maintain software applications and systems for various platforms."
50,O/L Completed,IT / Programming Interest,BSc Computer Science,Software Engineering,Junior Software Developer,Full Stack Developer,Senior Developer,Algorithms|Problem Solving|Programming,Critical Thinking|Teamwork|Time Management,Software Patterns|Math for CS|Databases,Scrum Master|Azure Fundamentals,Very High,Very High,165000,195000-730000,Yes,High,Medium,"Design, build, and maintain software applications and systems for various platforms."
51,Career Switcher,Architecture & Built Environment Interest,BArch Architecture,Architecture,Design Intern,Architect,Principal Architect,SketchUp|Building Codes|AutoCAD,Creativity|Communication|Attention to Detail,Structural Design|Architectural Design|Building Materials,Chartered Architect (AIA)|LEED Green Associate,Medium,Medium,100000,130000-440000,Medium,High,Medium,"Design buildings and structures that are functional, safe, and aesthetically pleasing."
52,Career Switcher,Education & Teaching Interest,BA/BSc / BEd Education,Education,Tutor,Teacher,Principal,Student Assessment|Curriculum Development|Educational Technology,Mentorship|Patience|Public Speaking,Subject-Specific Focus|Teaching Methodology|Curriculum Design,Postgraduate Diploma in Education (PGDE)|TEFL/TESOL,Medium,High,65000,95000-310000,Medium,High,Low,"Educate and mentor students, preparing them for academic and personal success."
53,A/L Completed,Biological Science Stream - Biology focus,BSc Nursing,Healthcare - Nursing,Trainee Staff Nurse,ICU Nurse,Chief Nursing Officer,Patient Care|Infection Control|First Aid,Resilience|Patience|Communication,Nursing Foundations|Medical-Surgical Nursing|Pharmacology,Specialized Nursing Certifications|BLS,High,Very High,85000,115000-170000,No,Low,Low,"Provide care to patients, administer medications, and assist doctors in medical treatments."
54,A/L Completed,Arts Stream - Logic/Media focus,BSc Data Science,Data Science,BI Analyst,Data Scientist,Chief Data Officer,Statistics|Python|Machine Learning,Curiosity|Business Acumen|Presentation,Big Data|Probability|Linear Algebra,IBM Data Science|AWS Machine Learning,High,Very High,120000,150000-880000,Yes,High,Low,Analyze complex data sets to help companies make data-driven decisions and build predictive models.
55,Diploma Holder,Background in Agriculture,BSc Agriculture,Agriculture & Agri-Business,Farm Supervisor,Agronomist,Senior Agronomist,"Agri-Tech (IoT, Drones)|Crop Management|Pest Control",Physical Endurance|Adaptability|Team Management,Soil Science|Agricultural Economics|Crop Science,GAP Certification|Pesticide Application License,Medium,Low,85000,115000-170000,No,Low,Medium,"Manage farming operations, improve crop yields, and implement sustainable agricultural practices."
56,O/L Completed,Healthcare Caregiving Interest,BSc Nursing,Healthcare - Nursing,Assistant Nurse,ICU Nurse,Nursing Sister,Infection Control|Vital Signs Monitoring|First Aid,Empathy|Resilience|Patience,Psychology|Nursing Foundations|Pharmacology,ACLS|Specialized Nursing Certifications,High,Very High,75000,105000-180000,No,Low,Low,"Provide care to patients, administer medications, and assist doctors in medical treatments."
57,Diploma Holder,Background in Marketing & Digital Media,BSc Digital Marketing,Marketing,Social Media Coordinator,Content Strategist,Chief Marketing Officer,SEO/SEM|Social Media Ads|Google Analytics,Creativity|Adaptability|Empathy,Digital Strategy|Brand Management|Market Research,Meta Blueprint|HubSpot Inbound Marketing,High,High,75000,105000-380000,Yes,High,Medium,Promote products and services using digital channels to reach target audiences effectively.
58,Undergraduate,Background in Design & Multimedia,BA Graphic Design / Diploma in Multimedia,Design,UI/UX Intern,Graphic Designer,Lead Product Designer,Adobe Illustrator|Figma|Color Theory,Attention to Detail|Time Management|Creativity,User Experience|Digital Art|Design Principles,Adobe Certified Professional|Google UX Design,High,High,65000,95000-510000,Yes,High,High,"Create visual concepts to communicate ideas that inspire, inform, and captivate consumers."
59,Undergraduate,Background in Architecture & Built Environment,BArch Architecture,Architecture,Design Intern,Interior Designer,Senior Architect,3D Rendering|SketchUp|AutoCAD,Creativity|Communication|Visualization,Building Materials|Structural Design|Architectural Design,LEED Green Associate|Chartered Architect (AIA),Medium,Medium,70000,100000-420000,Medium,High,Medium,"Design buildings and structures that are functional, safe, and aesthetically pleasing."
60,Undergraduate,Background in Architecture & Built Environment,BArch Architecture,Architecture,Design Intern,Architect,Design Director,3D Rendering|Building Codes|AutoCAD,Attention to Detail|Visualization|Communication,Structural Design|Building Materials|Architectural Design,LEED Green Associate|Chartered Architect (AIA),Medium,Medium,100000,130000-290000,Medium,High,Medium,"Design buildings and structures that are functional, safe, and aesthetically pleasing."
61,A/L Completed,Arts Stream - Languages focus,BA/BSc / BEd Education,Education,Trainee Teacher,Instructor,Senior Teacher,Lesson Planning|Curriculum Development|Student Assessment,Empathy|Public Speaking|Patience,Teaching Methodology|Subject-Specific Focus|Curriculum Design,Postgraduate Diploma in Education (PGDE)|TEFL/TESOL,Medium,High,55000,85000-170000,Medium,High,Low,"Educate and mentor students, preparing them for academic and personal success."
62,Diploma Holder,Background in Psychology & Counseling,BA/BSc Psychology,Psychology,Assistant Psychologist,Organizational Psychologist,Consultant Psychologist,Psychological Assessment|Research Methodology|Therapy Techniques (CBT),Patience|Confidentiality|Empathy,Cognitive Psychology|Counseling|Developmental Psychology,Clinical Psychology Masters|Counseling Diploma,Medium,High,50000,80000-480000,Yes,High,Low,Study human behavior and help individuals navigate mental health and emotional challenges.
63,A/L Completed,Physical Science Stream - Chemistry/IT focus,BSc Mechanical Engineering,Mechanical Engineering,Junior Mechanical Engineer,Mechanical Engineer,Engineering Director,Robotics|CAD/CAM|Quality Control,Innovation|Attention to Detail|Troubleshooting,Fluid Mechanics|Control Systems|Machine Design,Six Sigma|SolidWorks Certification,Medium,High,130000,160000-410000,No,Low,Medium,"Design, develop, build, and test mechanical and thermal sensors and devices."
64,Graduate,Background in Design & Multimedia,BA Graphic Design / Diploma in Multimedia,Design,Visual Designer,UI/UX Designer,Lead Product Designer,Figma|Photoshop|Color Theory,Receptivity to Feedback|Creativity|Time Management,Visual Communication|Digital Art|User Experience,Google UX Design|Adobe Certified Professional,High,High,95000,125000-330000,Yes,High,High,"Create visual concepts to communicate ideas that inspire, inform, and captivate consumers."
65,Undergraduate,Background in Construction & Structures,BSc Civil Engineering,Civil Engineering,Junior Civil Engineer,Structural Engineer,Construction Manager,Project Management|AutoCAD|Surveying,Leadership|Problem Solving|Teamwork,Structural Design|Geotechnical Engineering|Materials Science,PMP|AutoCAD Certification,Medium,Medium,70000,100000-390000,No,Low,Low,"Design, build, and supervise infrastructure projects and systems."
66,Career Switcher,Cybersecurity Interest,BSc Cyber Security,Information Security,Security Analyst Trainee,Security Engineer,Chief Information Security Officer (CISO),Risk Assessment|Network Security|Linux,Perseverance|Calm Under Pressure|Ethics,Network Protocols|Malware Analysis|Digital Forensics,CEH|CISSP,Very High,Very High,175000,205000-910000,Yes,High,Low,Protect computer systems and networks from cyber attacks and unauthorized access.
67,Career Switcher,Healthcare Caregiving Interest,BSc Nursing,Healthcare - Nursing,Trainee Staff Nurse,Registered Nurse,Nursing Sister,Infection Control|First Aid|Patient Care,Empathy|Resilience|Communication,Medical-Surgical Nursing|Pharmacology|Nursing Foundations,BLS|ACLS,High,Very High,75000,105000-480000,No,Low,Low,"Provide care to patients, administer medications, and assist doctors in medical treatments."
68,A/L Pending,Arts Stream - Languages focus,BSc Human Resource Management,Human Resources,Payroll Clerk,Talent Acquisition Specialist,HR Director,"HRIS (Workday, BambooHR)|Recruitment|Labor Law Knowledge",Communication|Negotiation|Conflict Resolution,Labor Law|Performance Management|Organizational Behavior,SHRM-CP|CIPM,Medium,Medium,60000,90000-590000,Yes,Low,Medium,"Manage the recruitment, development, and wellbeing of an organization's employees."
69,A/L Pending,Technology Stream - ET/BST focus,BSc Supply Chain Management,Logistics,Procurement Trainee,Warehouse Manager,Procurement Director,ERP Software (SAP/Oracle)|Inventory Management|Freight Forwarding,Time Management|Negotiation|Problem Solving,Inventory Control|Transportation Management|Global Supply Chain,Six Sigma|CSCP,High,High,105000,135000-350000,No,Low,Medium,Oversee the movement of goods from suppliers to consumers efficiently and cost-effectively.
