id,career_category,career_name,al_stream_required,minimum_education_level,recommended_degree,alternative_path,entry_level_job,mid_level_job,senior_level_job,key_technical_skills,recommended_soft_skills,typical_university_subjects,certifications_or_extra_training,industry_growth_in_sri_lanka,global_demand_level,average_starting_salary_lkr,future_salary_range_lkr,remote_work_possibility,freelance_opportunity,automation_risk,job_description,career_difficulty,study_duration_years,local_job_availability,international_opportunity,recommended_first_step,career_tags
11,"Technology & IT","Blockchain Developer",Maths;Technology,A/L,"BSc in Blockchain Developer","External Diploma","Junior Blockchain Developer","Senior Blockchain Developer","Head of Blockchain Developer","Python;Java;Cloud Computing;SQL;Git;Agile;System Design","Problem Solving;Adaptability;Teamwork;Communication","Programming;Data Structures;Operating Systems;Networking","AWS Certified;Azure Fundamentals;Google Cloud Professional",High,High,110000,"400,000-2,500,000","Very High","Very High",Low,"A specialized role as a Blockchain Developer within the Technology & IT sector in Sri Lanka.",Hard,4,High,High,Degree,blockchain;developer;technology;;it
12,"Technology & IT","Game Developer",Maths;Technology,A/L,"BSc in Game Developer","External Diploma","Junior Game Developer","Senior Game Developer","Head of Game Developer","Python;Java;Cloud Computing;SQL;Git;Agile;System Design","Problem Solving;Adaptability;Teamwork;Communication","Programming;Data Structures;Operating Systems;Networking","AWS Certified;Azure Fundamentals;Google Cloud Professional",High,High,110000,"400,000-2,500,000","Very High","Very High",Low,"A specialized role as a Game Developer within the Technology & IT sector in Sri Lanka.",Hard,4,High,High,Degree,game;developer;technology;;it
13,"Technology & IT","AR Developer",Maths;Technology,A/L,"BSc in AR Developer","External Diploma","Junior AR Developer","Senior AR Developer","Head of AR Developer","Python;Java;Cloud Computing;SQL;Git;Agile;System Design","Problem Solving;Adaptability;Teamwork;Communication","Programming;Data Structures;Operating Systems;Networking","AWS Certified;Azure Fundamentals;Google Cloud Professional",High,High,110000,"400,000-2,500,000","Very High","Very High",Low,"A specialized role as a AR Developer within the Technology & IT sector in Sri Lanka.",Hard,4,High,High,Degree,ar;developer;technology;;it
14,"Technology & IT","VR Developer",Maths;Technology,A/L,"BSc in VR Developer","External Diploma","Junior VR Developer","Senior VR Developer","Head of VR Developer","Python;Java;Cloud Computing;SQL;Git;Agile;System Design","Problem Solving;Adaptability;Teamwork;Communication","Programming;Data Structures;Operating Systems;Networking","AWS Certified;Azure Fundamentals;Google Cloud Professional",High,High,110000,"400,000-2,500,000","Very High","Very High",Low,"A specialized role as a VR Developer within the Technology & IT sector in Sri Lanka.",Hard,4,High,High,Degree,vr;developer;technology;;it
15,"Technology & IT","Mobile App Developer",Maths;Technology,A/L,"BSc in Mobile App Developer","External Diploma","Junior Mobile App Developer","Senior Mobile App Developer","Head of Mobile App Developer","Python;Java;Cloud Computing;SQL;Git;Agile;System Design","Problem Solving;Adaptability;Teamwork;Communication","Programming;Data Structures;Operating Systems;Networking","AWS Certified;Azure Fundamentals;Google Cloud Professional",High,High,110000,"400,000-2,500,000","Very High","Very High",Low,"A specialized role as a Mobile App Developer within the Technology & IT sector in Sri Lanka.",Hard,4,High,High,Degree,mobile;app;developer;technology;;it
16,"Technology & IT","Frontend Developer",Maths;Technology,A/L,"BSc in Frontend Developer","External Diploma","Junior Frontend Developer","Senior Frontend Developer","Head of Frontend Developer","Python;Java;Cloud Computing;SQL;Git;Agile;System Design","Problem Solving;Adaptability;Teamwork;Communication","Programming;Data Structures;Operating Systems;Networking","AWS Certified;Azure Fundamentals;Google Cloud Professional",High,High,110000,"400,000-2,500,000","Very High","Very High",Low,"A specialized role as a Frontend Developer within the Technology & IT sector in Sri Lanka.",Hard,4,High,High,Degree,frontend;developer;technology;;it
17,"Technology & IT","Backend Developer",Maths;Technology,A/L,"BSc in Backend Developer","External Diploma","Junior Backend Developer","Senior Backend Developer","Head of Backend Developer","Python;Java;Cloud Computing;SQL;Git;Agile;System Design","Problem Solving;Adaptability;Teamwork;Communication","Programming;Data Structures;Operating Systems;Networking","AWS Certified;Azure Fundamentals;Google Cloud Professional",High,High,110000,"400,000-2,500,000","Very High","Very High",Low,"A specialized role as a Backend Developer within the Technology & IT sector in Sri Lanka.",Hard,4,High,High,Degree,backend;developer;technology;;it
18,"Technology & IT","Full Stack Developer",Maths;Technology,A/L,"BSc in Full Stack Developer","External Diploma","Junior Full Stack Developer","Senior Full Stack Developer","Head of Full Stack Developer","Python;Java;Cloud Computing;SQL;Git;Agile;System Design","Problem Solving;Adaptability;Teamwork;Communication","Programming;Data Structures;Operating Systems;Networking","AWS Certified;Azure Fundamentals;Google Cloud Professional",High,High,110000,"400,000-2,500,000","Very High","Very High",Low,"A specialized role as a Full Stack Developer within the Technology & IT sector in Sri Lanka.",Hard,4,High,High,Degree,full;stack;developer;technology;;it
19,"Technology & IT","IT Systems Administrator",Maths;Technology,A/L,"BSc in IT Systems Administrator","External Diploma","Junior IT Systems Administrator","Senior IT Systems Administrator","Head of IT Systems Administrator","Python;Java;Cloud Computing;SQL;Git;Agile;System Design","Problem Solving;Adaptability;Teamwork;Communication","Programming;Data Structures;Operating Systems;Networking","AWS Certified;Azure Fundamentals;Google Cloud Professional",High,High,110000,"400,000-2,500,000","Very High","Very High",Low,"A specialized role as a IT Systems Administrator within the Technology & IT sector in Sri Lanka.",Hard,4,High,High,Degree,it;systems;administrator;technology;;it
20,"Technology & IT","Network Engineer",Maths;Technology,A/L,"BSc in Network Engineer","External Diploma","Junior Network Engineer","Senior Network Engineer","Head of Network","Python;Java;Cloud Computing;SQL;Git;Agile;System Design","Problem Solving;Adaptability;Teamwork;Communication","Programming;Data Structures;Operating Systems;Networking","AWS Certified;Azure Fundamentals;Google Cloud Professional",High,High,110000,"400,000-2,500,000","Very High","Very High",Low,"A specialized role as a Network Engineer within the Technology & IT sector in Sri Lanka.",Hard,4,High,High,Degree,network;engineer;technology;;it
21,"Technology & IT","Database Administrator",Maths;Technology,A/L,"BSc in Database Administrator","External Diploma","Junior Database Administrator","Senior Database Administrator","Head of Database Administrator","Python;Java;Cloud Computing;SQL;Git;Agile;System Design","Problem Solving;Adaptability;Teamwork;Communication","Programming;Data Structures;Operating Systems;Networking","AWS Certified;Azure Fundamentals;Google Cloud Professional",High,High,110000,"400,000-2,500,000","Very High","Very High",Low,"A specialized role as a Database Administrator within the Technology & IT sector in Sri Lanka.",Hard,4,High,High,Degree,database;administrator;technology;;it
22,"Technology & IT","AI Engineer",Maths;Technology,A/L,"BSc in AI Engineer","External Diploma","Junior AI Engineer","Senior AI Engineer","Head of AI","Python;Java;Cloud Computing;SQL;Git;Agile;System Design","Problem Solving;Adaptability;Teamwork;Communication","Programming;Data Structures;Operating Systems;Networking","AWS Certified;Azure Fundamentals;Google Cloud Professional",High,High,110000,"400,000-2,500,000","Very High","Very High",Low,"A specialized role as a AI Engineer within the Technology & IT sector in Sri Lanka.",Hard,4,High,High,Degree,ai;engineer;technology;;it
23,"Technology & IT","Robotics Software Engineer",Maths;Technology,A/L,"BSc in Robotics Software Engineer","External Diploma","Junior Robotics Software Engineer","Senior Robotics Software Engineer","Head of Robotics Software","Python;Java;Cloud Computing;SQL;Git;Agile;System Design","Problem Solving;Adaptability;Teamwork;Communication","Programming;Data Structures;Operating Systems;Networking","AWS Certified;Azure Fundamentals;Google Cloud Professional",High,High,110000,"400,000-2,500,000","Very High","Very High",Low,"A specialized role as a Robotics Software Engineer within the Technology & IT sector in Sri Lanka.",Hard,4,High,High,Degree,robotics;software;engineer;technology;;it
24,Engineering,"Civil Engineer",Maths,A/L,"BSc in Civil Engineer","External Diploma","Junior Civil Engineer","Senior Civil Engineer","Head of Civil","AutoCAD;MATLAB;Project Management;Resource Planning;Safety Standards","Analytical Thinking;Attention to Detail;Collaboration","Thermodynamics;Fluid Mechanics;Mathematics;Material Science","Chartered Engineer (IESL);PMP;LEED Green Associate",High,High,75000,"200,000-1,500,000",Medium,Medium,Low,"A specialized role as a Civil Engineer within the Engineering sector in Sri Lanka.",Hard,4,High,High,Degree,civil;engineer;engineering
25,Engineering,"Structural Engineer",Maths,A/L,"BSc in Structural Engineer","External Diploma","Junior Structural Engineer","Senior Structural Engineer","Head of Structural","AutoCAD;MATLAB;Project Management;Resource Planning;Safety Standards","Analytical Thinking;Attention to Detail;Collaboration","Thermodynamics;Fluid Mechanics;Mathematics;Material Science","Chartered Engineer (IESL);PMP;LEED Green Associate",High,High,75000,"200,000-1,500,000",Medium,Medium,Low,"A specialized role as a Structural Engineer within the Engineering sector in Sri Lanka.",Hard,4,High,High,Degree,structural;engineer;engineering
26,Engineering,"Mechanical Engineer",Maths,A/L,"BSc in Mechanical Engineer","External Diploma","Junior Mechanical Engineer","Senior Mechanical Engineer","Head of Mechanical","AutoCAD;MATLAB;Project Management;Resource Planning;Safety Standards","Analytical Thinking;Attention to Detail;Collaboration","Thermodynamics;Fluid Mechanics;Mathematics;Material Science","Chartered Engineer (IESL);PMP;LEED Green Associate",High,High,75000,"200,000-1,500,000",Medium,Medium,Low,"A specialized role as a Mechanical Engineer within the Engineering sector in Sri Lanka.",Hard,4,High,High,Degree,mechanical;engineer;engineering
27,Engineering,"Electrical Engineer",Maths,A/L,"BSc in Electrical Engineer","External Diploma","Junior Electrical Engineer","Senior Electrical Engineer","Head of Electrical","AutoCAD;MATLAB;Project Management;Resource Planning;Safety Standards","Analytical Thinking;Attention to Detail;Collaboration","Thermodynamics;Fluid Mechanics;Mathematics;Material Science","Chartered Engineer (IESL);PMP;LEED Green Associate",High,High,75000,"200,000-1,500,000",Medium,Medium,Low,"A specialized role as a Electrical Engineer within the Engineering sector in Sri Lanka.",Hard,4,High,High,Degree,electrical;engineer;engineering
28,Engineering,"Electronic Engineer",Maths,A/L,"BSc in Electronic Engineer","External Diploma","Junior Electronic Engineer","Senior Electronic Engineer","Head of Electronic","AutoCAD;MATLAB;Project Management;Resource Planning;Safety Standards","Analytical Thinking;Attention to Detail;Collaboration","Thermodynamics;Fluid Mechanics;Mathematics;Material Science","Chartered Engineer (IESL);PMP;LEED Green Associate",High,High,75000,"200,000-1,500,000",Medium,Medium,Low,"A specialized role as a Electronic Engineer within the Engineering sector in Sri Lanka.",Hard,4,High,High,Degree,electronic;engineer;engineering
29,Engineering,"Mechatronics Engineer",Maths,A/L,"BSc in Mechatronics Engineer","External Diploma","Junior Mechatronics Engineer","Senior Mechatronics Engineer","Head of Mechatronics","AutoCAD;MATLAB;Project Management;Resource Planning;Safety Standards","Analytical Thinking;Attention to Detail;Collaboration","Thermodynamics;Fluid Mechanics;Mathematics;Material Science","Chartered Engineer (IESL);PMP;LEED Green Associate",High,High,75000,"200,000-1,500,000",Medium,Medium,Low,"A specialized role as a Mechatronics Engineer within the Engineering sector in Sri Lanka.",Hard,4,High,High,Degree,mechatronics;engineer;engineering
30,Engineering,"Industrial Engineer",Maths,A/L,"BSc in Industrial Engineer","External Diploma","Junior Industrial Engineer","Senior Industrial Engineer","Head of Industrial","AutoCAD;MATLAB;Project Management;Resource Planning;Safety Standards","Analytical Thinking;Attention to Detail;Collaboration","Thermodynamics;Fluid Mechanics;Mathematics;Material Science","Chartered Engineer (IESL);PMP;LEED Green Associate",High,High,75000,"200,000-1,500,000",Medium,Medium,Low,"A specialized role as a Industrial Engineer within the Engineering sector in Sri Lanka.",Hard,4,High,High,Degree,industrial;engineer;engineering
31,Engineering,"Chemical Engineer",Maths,A/L,"BSc in Chemical Engineer","External Diploma","Junior Chemical Engineer","Senior Chemical Engineer","Head of Chemical","AutoCAD;MATLAB;Project Management;Resource Planning;Safety Standards","Analytical Thinking;Attention to Detail;Collaboration","Thermodynamics;Fluid Mechanics;Mathematics;Material Science","Chartered Engineer (IESL);PMP;LEED Green Associate",High,High,75000,"200,000-1,500,000",Medium,Medium,Low,"A specialized role as a Chemical Engineer within the Engineering sector in Sri Lanka.",Hard,4,High,High,Degree,chemical;engineer;engineering
32,Engineering,"Aerospace Engineer",Maths,A/L,"BSc in Aerospace Engineer","External Diploma","Junior Aerospace Engineer","Senior Aerospace Engineer","Head of Aerospace","AutoCAD;MATLAB;Project Management;Resource Planning;Safety Standards","Analytical Thinking;Attention to Detail;Collaboration","Thermodynamics;Fluid Mechanics;Mathematics;Material Science","Chartered Engineer (IESL);PMP;LEED Green Associate",High,High,75000,"200,000-1,500,000",Medium,Medium,Low,"A specialized role as a Aerospace Engineer within the Engineering sector in Sri Lanka.",Hard,4,High,High,Degree,aerospace;engineer;engineering
33,Engineering,"Petroleum Engineer",Maths,A/L,"BSc in Petroleum Engineer","External Diploma","Junior Petroleum Engineer","Senior Petroleum Engineer","Head of Petroleum","AutoCAD;MATLAB;Project Management;Resource Planning;Safety Standards","Analytical Thinking;Attention to Detail;Collaboration","Thermodynamics;Fluid Mechanics;Mathematics;Material Science","Chartered Engineer (IESL);PMP;LEED Green Associate",High,High,75000,"200,000-1,500,000",Medium,Medium,Low,"A specialized role as a Petroleum Engineer within the Engineering sector in Sri Lanka.",Hard,4,High,High,Degree,petroleum;engineer;engineering
34,Engineering,"Geotechnical Engineer",Maths,A/L,"BSc in Geotechnical Engineer","External Diploma","Junior Geotechnical Engineer","Senior Geotechnical Engineer","Head of Geotechnical","AutoCAD;MATLAB;Project Management;Resource Planning;Safety Standards","Analytical Thinking;Attention to Detail;Collaboration","Thermodynamics;Fluid Mechanics;Mathematics;Material Science","Chartered Engineer (IESL);PMP;LEED Green Associate",High,High,75000,"200,000-1,500,000",Medium,Medium,Low,"A specialized role as a Geotechnical Engineer within the Engineering sector in Sri Lanka.",Hard,4,High,High,Degree,geotechnical;engineer;engineering
35,Engineering,"Marine Engineer",Maths,A/L,"BSc in Marine Engineer","External Diploma","Junior Marine Engineer","Senior Marine Engineer","Head of Marine","AutoCAD;MATLAB;Project Management;Resource Planning;Safety Standards","Analytical Thinking;Attention to Detail;Collaboration","Thermodynamics;Fluid Mechanics;Mathematics;Material Science","Chartered Engineer (IESL);PMP;LEED Green Associate",High,High,75000,"200,000-1,500,000",Medium,Medium,Low,"A specialized role as a Marine Engineer within the Engineering sector in Sri Lanka.",Hard,4,High,High,Degree,marine;engineer;engineering
36,Engineering,"Renewable Energy Engineer",Maths,A/L,"BSc in Renewable Energy Engineer","External Diploma","Junior Renewable Energy Engineer","Senior Renewable Energy Engineer","Head of Renewable Energy","AutoCAD;MATLAB;Project Management;Resource Planning;Safety Standards","Analytical Thinking;Attention to Detail;Collaboration","Thermodynamics;Fluid Mechanics;Mathematics;Material Science","Chartered Engineer (IESL);PMP;LEED Green Associate",High,High,75000,"200,000-1,500,000",Medium,Medium,Low,"A specialized role as a Renewable Energy Engineer within the Engineering sector in Sri Lanka.",Hard,4,High,High,Degree,renewable;energy;engineer;engineering
37,Engineering,"Automotive Engineer",Maths,A/L,"BSc in Automotive Engineer","External Diploma","Junior Automotive Engineer","Senior Automotive Engineer","Head of Automotive","AutoCAD;MATLAB;Project Management;Resource Planning;Safety Standards","Analytical Thinking;Attention to Detail;Collaboration","Thermodynamics;Fluid Mechanics;Mathematics;Material Science","Chartered Engineer (IESL);PMP;LEED Green Associate",High,High,75000,"200,000-1,500,000",Medium,Medium,Low,"A specialized role as a Automotive Engineer within the Engineering sector in Sri Lanka.",Hard,4,High,High,Degree,automotive;engineer;engineering
38,Engineering,"Manufacturing Engineer",Maths,A/L,"BSc in Manufacturing Engineer","External Diploma","Junior Manufacturing Engineer","Senior Manufacturing Engineer","Head of Manufacturing","AutoCAD;MATLAB;Project Management;Resource Planning;Safety Standards","Analytical Thinking;Attention to Detail;Collaboration","Thermodynamics;Fluid Mechanics;Mathematics;Material Science","Chartered Engineer (IESL);PMP;LEED Green Associate",High,High,75000,"200,000-1,500,000",Medium,Medium,Low,"A specialized role as a Manufacturing Engineer within the Engineering sector in Sri Lanka.",Hard,4,High,High,Degree,manufacturing;engineer;engineering
39,"Healthcare & Medical","Doctor / Physician",Biology,A/L,"BSc in Doctor","External Diploma","Junior Doctor / Physician","Senior Medical Officer",Consultant,"Patient Care;Medical Diagnosis;Pharmacology;Emergency Response","Empathy;Resilience;Ethical Judgment;Active Listening",Anatomy;Physiology;Pathology;Biochemistry,"SLMC Registration;Advanced Life Support (ALS);BLS",High,High,95000,"300,000-2,000,000",Low,Medium,Low,"A specialized role as a Doctor / Physician within the Healthcare & Medical sector in Sri Lanka.","Very Hard",6,High,High,Degree,doctor;;;physician;healthcare;;medical
40,"Healthcare & Medical",Dentist,Biology,A/L,"BSc in Dentist","External Diploma","Junior Dentist","Senior Dentist","Head of Dentist","Patient Care;Medical Diagnosis;Pharmacology;Emergency Response","Empathy;Resilience;Ethical Judgment;Active Listening",Anatomy;Physiology;Pathology;Biochemistry,"SLMC Registration;Advanced Life Support (ALS);BLS",High,High,85000,"300,000-2,000,000",Low,Medium,Low,"A specialized role as a Dentist within the Healthcare & Medical sector in Sri Lanka.","Very Hard",5,High,High,Degree,dentist;healthcare;;medical
41,"Healthcare & Medical",Nurse,Biology,A/L,"BSc in Nurse","External Diploma","Junior Nurse","Staff Nurse","Nursing Director","Patient Care;Medical Diagnosis;Pharmacology;Emergency Response","Empathy;Resilience;Ethical Judgment;Active Listening",Anatomy;Physiology;Pathology;Biochemistry,"SLMC Registration;Advanced Life Support (ALS);BLS",High,High,85000,"300,000-2,000,000",Low,Medium,Low,"A specialized role as a Nurse within the Healthcare & Medical sector in Sri Lanka.","Very Hard",5,High,High,Degree,nurse;healthcare;;medical
42,"Healthcare & Medical",Pharmacist,Biology,A/L,"BSc in Pharmacist","External Diploma","Junior Pharmacist","Senior Pharmacist","Head of Pharmacist","Patient Care;Medical Diagnosis;Pharmacology;Emergency Response","Empathy;Resilience;Ethical Judgment;Active Listening",Anatomy;Physiology;Pathology;Biochemistry,"SLMC Registration;Advanced Life Support (ALS);BLS",High,High,85000,"300,000-2,000,000",Low,Medium,Low,"A specialized role as a Pharmacist within the Healthcare & Medical sector in Sri Lanka.","Very Hard",5,High,High,Degree,pharmacist;healthcare;;medical
43,"Healthcare & Medical",Radiologist,Biology,A/L,"BSc in Radiologist","External Diploma","Junior Radiologist","Senior Radiologist","Head of Radiologist","Patient Care;Medical Diagnosis;Pharmacology;Emergency Response","Empathy;Resilience;Ethical Judgment;Active Listening",Anatomy;Physiology;Pathology;Biochemistry,"SLMC Registration;Advanced Life Support (ALS);BLS",High,High,85000,"300,000-2,000,000",Low,Medium,Low,"A specialized role as a Radiologist within the Healthcare & Medical sector in Sri Lanka.","Very Hard",5,High,High,Degree,radiologist;healthcare;;medical
44,"Healthcare & Medical",Physiotherapist,Biology,A/L,"BSc in Physiotherapist","External Diploma","Junior Physiotherapist","Senior Physiotherapist","Head of Physiotherapist","Patient Care;Medical Diagnosis;Pharmacology;Emergency Response","Empathy;Resilience;Ethical Judgment;Active Listening",Anatomy;Physiology;Pathology;Biochemistry,"SLMC Registration;Advanced Life Support (ALS);BLS",High,High,85000,"300,000-2,000,000",Low,Medium,Low,"A specialized role as a Physiotherapist within the Healthcare & Medical sector in Sri Lanka.","Very Hard",5,High,High,Degree,physiotherapist;healthcare;;medical
45,"Healthcare & Medical",Optometrist,Biology,A/L,"BSc in Optometrist","External Diploma","Junior Optometrist","Senior Optometrist","Head of Optometrist","Patient Care;Medical Diagnosis;Pharmacology;Emergency Response","Empathy;Resilience;Ethical Judgment;Active Listening",Anatomy;Physiology;Pathology;Biochemistry,"SLMC Registration;Advanced Life Support (ALS);BLS",High,High,85000,"300,000-2,000,000",Low,Medium,Low,"A specialized role as a Optometrist within the Healthcare & Medical sector in Sri Lanka.","Very Hard",5,High,High,Degree,optometrist;healthcare;;medical
46,"Healthcare & Medical",Veterinarian,Biology,A/L,"BSc in Veterinarian","External Diploma","Junior Veterinarian","Senior Veterinarian","Head of Veterinarian","Patient Care;Medical Diagnosis;Pharmacology;Emergency Response","Empathy;Resilience;Ethical Judgment;Active Listening",Anatomy;Physiology;Pathology;Biochemistry,"SLMC Registration;Advanced Life Support (ALS);BLS",High,High,85000,"300,000-2,000,000",Low,Medium,Low,"A specialized role as a Veterinarian within the Healthcare & Medical sector in Sri Lanka.","Very Hard",5,High,High,Degree,veterinarian;healthcare;;medical
47,"Healthcare & Medical",Psychologist,Biology,A/L,"BSc in Psychologist","External Diploma","Junior Psychologist","Senior Psychologist","Head of Psychologist","Patient Care;Medical Diagnosis;Pharmacology;Emergency Response","Empathy;Resilience;Ethical Judgment;Active Listening",Anatomy;Physiology;Pathology;Biochemistry,"SLMC Registration;Advanced Life Support (ALS);BLS",High,High,85000,"300,000-2,000,000",Low,Medium,Low,"A specialized role as a Psychologist within the Healthcare & Medical sector in Sri Lanka.","Very Hard",5,High,High,Degree,psychologist;healthcare;;medical
48,"Healthcare & Medical","Clinical Psychologist",Biology,A/L,"BSc in Clinical Psychologist","External Diploma","Junior Clinical Psychologist","Senior Clinical Psychologist","Head of Clinical Psychologist","Patient Care;Medical Diagnosis;Pharmacology;Emergency Response","Empathy;Resilience;Ethical Judgment;Active Listening",Anatomy;Physiology;Pathology;Biochemistry,"SLMC Registration;Advanced Life Support (ALS);BLS",High,High,85000,"300,000-2,000,000",Low,Medium,Low,"A specialized role as a Clinical Psychologist within the Healthcare & Medical sector in Sri Lanka.","Very Hard",5,High,High,Degree,clinical;psychologist;healthcare;;medical
49,"Healthcare & Medical",Nutritionist,Biology,A/L,"BSc in Nutritionist","External Diploma","Junior Nutritionist","Senior Nutritionist","Head of Nutritionist","Patient Care;Medical Diagnosis;Pharmacology;Emergency Response","Empathy;Resilience;Ethical Judgment;Active Listening",Anatomy;Physiology;Pathology;Biochemistry,"SLMC Registration;Advanced Life Support (ALS);BLS",High,High,85000,"300,000-2,000,000",Low,Medium,Low,"A specialized role as a Nutritionist within the Healthcare & Medical sector in Sri Lanka.","Very Hard",5,High,High,Degree,nutritionist;healthcare;;medical
