id,career_category,career_name,al_stream_required,minimum_education_level,recommended_degree_fields,alternative_path,entry_level_job,mid_level_job,senior_level_job,key_technical_skills,recommended_soft_skills,typical_university_subjects,certifications_or_extra_training,industry_growth_in_sri_lanka,global_demand_level,average_starting_salary_lkr,future_salary_range_lkr,remote_work_possibility,freelance_opportunity,automation_risk,job_description,career_difficulty,study_duration_years,local_job_availability,international_opportunity,recommended_first_step,career_tags,postgrad_path
13,Technology & IT,AR Developer,Any (with ICT),A/L,Computer Science; Game Development; Software Engineering,External Diploma,Junior AR Developer,AR Developer,Principal AR Developer,Unity3D;C#;Computer Vision;3D Modeling;Unreal Engine,Problem Solving;Adaptability;Teamwork;Communication,HCI;Computer Vision;3D Math,Unity Certification,High,High,110000,"400,000-2,500,000",Very High,Very High,Low,"Creates augmented reality experiences by overlaying digital content onto the physical world.",Hard,4,High,High,Apply for Bachelor Degree in Computer Science / Game Development / IT,ar;developer;technology;it,MSc Computer Science; MSc Human-Computer Interaction; PhD in AR/VR Systems
14,Technology & IT,VR Developer,Any (with ICT),A/L,Computer Science; Game Development; Software Engineering,External Diploma,Junior VR Developer,VR Developer,Principal VR Developer,Unity3D;C#;VR SDKs;3D Modeling;Spatial Audio,Problem Solving;Adaptability;Teamwork;Communication,Virtual Reality;Graphics;HCI,Unity Certification,High,High,110000,"400,000-2,500,000",Very High,Very High,Low,"Develops immersive virtual reality environments and simulations for various industries.",Hard,4,High,High,Apply for Bachelor Degree in Computer Science / Game Development / IT,vr;developer;technology;it,MSc Computer Science; MSc Human-Computer Interaction; MFA in Virtual Reality
15,Technology & IT,Mobile App Developer,Any (with ICT),A/L,Software Engineering; Computer Science; Information Technology,External Diploma,Junior Mobile Developer,Senior Mobile Developer,Mobile Lead,Flutter;React Native;Swift;Kotlin;Firebase,Problem Solving;Adaptability;Teamwork;Communication,Mobile Programming;HCI;Networking,Google Associate Android Developer,High,High,110000,"400,000-2,500,000",Very High,Very High,Low,"Specializes in building high-performance mobile applications for iOS and Android.",Hard,4,High,High,Apply for Bachelor Degree in Software Engineering / Computer Science / IT,mobile;app;developer;technology;it,MSc Software Engineering; MSc Computer Science; MBA
16,Technology & IT,Frontend Developer,Any (with ICT),A/L,Software Engineering; Computer Science; Information Technology,External Diploma,Junior Frontend Developer,Senior Frontend Developer,Frontend Architect,HTML;CSS;JavaScript;React;TypeScript;Tailwind,Problem Solving;Adaptability;Teamwork;Communication,Web Systems;UI/UX Principles;Networking,Google UX Design Certificate,High,High,110000,"400,000-2,500,000",Very High,Very High,Medium,"Develops user interfaces and interactive components using modern web technologies.",Hard,4,High,High,Apply for Bachelor Degree in Software Engineering / Computer Science / IT,frontend;developer;technology;it,MSc Software Engineering; MSc UX Design; MSc Computer Science
17,Technology & IT,Backend Developer,Any (with ICT),A/L,Software Engineering; Computer Science; Information Technology,External Diploma,Junior Backend Developer,Senior Backend Developer,Backend Architect,Node.js;PHP;Python;REST APIs;SQL;Redis;Docker,Problem Solving;Adaptability;Teamwork;Communication,Server side Dev;Databases;Distributed Systems,AWS Certified Developer,High,High,110000,"400,000-2,500,000",Very High,Very High,Low,"Builds server-side logic, database integrations, and application programming interfaces.",Hard,4,High,High,Apply for Bachelor Degree in Software Engineering / Computer Science / IT,backend;developer;technology;it,MSc Software Engineering; MSc Cloud Computing; MSc Computer Science
18,Technology & IT,Full Stack Developer,Any (with ICT),A/L,Software Engineering; Computer Science; Information Technology,External Diploma,Junior Full Stack Developer,Senior Full Stack Developer,Engineering Manager,React;Node.js;SQL;NoSQL;REST APIs;Git;Cloud,Problem Solving;Adaptability;Teamwork;Communication,Web Development;Full Stack frameworks;Networking,AWS Fundamentals,High,High,110000,"400,000-2,500,000",Very High,Very High,Low,"Handles both frontend user interface and backend server logic for full application development.",Hard,4,High,High,Apply for Bachelor Degree in Software Engineering / Computer Science / IT,full;stack;developer;technology;it,MSc Software Engineering; MSc Computer Science; MBA
19,Technology & IT,IT Systems Administrator,Any (with ICT),A/L,Information Technology; Network Engineering; Computer Science,External Diploma,IT Support,Systems Administrator,IT Manager,Windows Server;Linux;Networking;Veeam;Active Directory,Problem Solving;Adaptability;Teamwork;Communication,OS Administration;Networking;Server Management,CompTIA Server+;MCSE,High,High,110000,"200,000-1,200,000",Very High,Very High,Low,"Manages and maintains an organization's computer systems and networks.",Hard,4,High,High,Apply for Bachelor Degree in IT / Computer Systems / Computer Science,it;systems;administrator;technology;it,MSc IT Management; MSc Network Engineering; MBA
20,Technology & IT,Network Engineer,Any (with ICT),A/L,Network Engineering; Information Technology; Computer Systems,External Diploma,Junior Network Engineer,Senior Network Engineer,Network Architect,Cisco/Juniper;Firewalls;Routing;Switching;Scripting,Problem Solving;Adaptability;Teamwork;Communication,Network Protocols;Signal Processing;OS,Cisco CCNA/CCNP,High,High,110000,"400,000-2,500,000",Very High,Very High,Low,"Designs and manages network infrastructures to ensure high connectivity and performance.",Hard,4,High,High,Apply for Bachelor Degree in Network Engineering / IT / Computer Systems,network;engineer;technology;it,MSc Network Engineering; MSc Cybersecurity; PhD in Network Systems
21,Technology & IT,Database Administrator,Any (with ICT),A/L,Information Systems; Computer Science; Statistics,External Diploma,Junior DBA,Senior DBA,Head of Data,SQL;Database Security;Tuning;Backup;Recovery;Oracle;PL/SQL,Problem Solving;Adaptability;Teamwork;Communication,Database Management;Information Systems;Security,Oracle Certified Professional DBA,High,High,110000,"400,000-2,500,000",Very High,Very High,Low,"Manages and secures database systems to ensure data availability and integrity.",Hard,4,High,High,Apply for Bachelor Degree in Information Systems / Computer Science,database;administrator;technology;it,MSc Database Systems; MSc Information Systems; PhD in Computer Science
22,Technology & IT,AI Engineer,Any (with ICT),A/L,Artificial Intelligence; Computer Science; Data Science,External Diploma,Junior AI Engineer,Senior AI Engineer,Head of AI,Python;TensorFlow;PyTorch;LLMs;GPT;NLP,Problem Solving;Adaptability;Teamwork;Communication,Linear Algebra;Probability;Cognitive Science,AWS Certified AI specialty,High,High,140000,"400,000-2,500,000",Very High,Very High,Low,"Designs and develops artificial intelligence systems and deep learning models.",Hard,4,High,High,Apply for Bachelor Degree in AI / Computer Science / Data Science,ai;engineer;technology;it,MSc Artificial Intelligence; MSc Machine Learning; PhD in Artificial Intelligence
23,Technology & IT,Robotics Software Engineer,Any (with ICT),A/L,Mechatronics Engineering; Computer Science; Robotics,External Diploma,Junior Robotics Engineer,Senior Robotics Engineer,Robotics Architect,C++;ROS;Embedded Systems;Motion Control;OpenCV,Problem Solving;Adaptability;Teamwork;Communication,Robotics;Control Systems;Computer Vision,AWS Robotics Fundamentals,High,High,95000,"400,000-2,500,000",Very High,Very High,Low,"Develops software that controls robotic systems and enables autonomous behavior.",Hard,4,High,High,Apply for Bachelor Degree in Mechatronics / Computer Science / Robotics,robotics;software;engineer;technology;it,MSc Robotics; MSc Mechatronics Engineering; PhD in Robotics
24,Engineering,Civil Engineer,Maths,A/L,Civil Engineering; Structural Engineering,External Diploma,Junior Civil Engineer,Civil Engineer,Senior Civil Engineer,AutoCAD;SAP2000;Surveying;Construction Management,Analytical Thinking;Attention to Detail;Team Leadership,Structural Analysis;Geo-tech;Hydraulics,IESL Charter;PMP,High,High,75000,"200,000-1,500,000",Medium,Medium,Low,"Plans, designs, and supervises construction projects such as roads, bridges, and buildings.",Hard,4,High,High,Apply for Bachelor Degree in Civil Engineering,civil;engineer;engineering,MEng Civil Engineering; MSc Structural Engineering; PhD in Civil Engineering
25,Engineering,Structural Engineer,Maths,A/L,Structural Engineering; Civil Engineering,External Diploma,Junior Structural Engineer,Structural Engineer,Principal Engineer,Structural Analysis;ETABS;Revit;Eurocodes,Analytical Thinking;Attention to Detail;Collaboration,Mechanics of Materials;Advanced Structures,IESL Charter,High,High,75000,"200,000-1,500,000",Medium,Medium,Low,"Focuses on the structural integrity and design of buildings and other infrastructure.",Hard,4,High,High,Apply for Bachelor Degree in Structural Engineering / Civil Engineering,structural;engineer;engineering,MEng Structural Engineering; MSc Structural Analysis; PhD in Structural Engineering
26,Engineering,Mechanical Engineer,Maths,A/L,Mechanical Engineering; Manufacturing Engineering,External Diploma,Junior Mechanical Engineer,Mechanical Engineer,Senior Mechanical Engineer,SolidWorks;Ansys;Thermodynamics;Manufacturing,Analytical Thinking;Attention to Detail;Collaboration,Thermodynamics;Machine Design;Fluid Mechanics,IESL Charter,High,High,75000,"200,000-1,500,000",Medium,Medium,Low,"Designs, develops, and builds mechanical devices, engines, and tools.",Hard,4,High,High,Apply for Bachelor Degree in Mechanical Engineering / Manufacturing Engineering,mechanical;engineer;engineering,MEng Mechanical Engineering; MSc Manufacturing Engineering; PhD in Mechanical Engineering
27,Engineering,Electrical Engineer,Maths,A/L,Electrical Engineering; Power Systems Engineering,External Diploma,Junior Electrical Engineer,Electrical Engineer,Senior Electrical Engineer,AutoCAD Electrical;Power Systems;PLC;MATLAB,Analytical Thinking;Attention to Detail;Collaboration,Power Systems;Electromagnetics;Circuit Theory,IESL Charter;Standard Electrical License,High,High,75000,"200,000-1,500,000",Medium,Medium,Low,"Designs and maintains electrical systems, equipment, and components for power generation.",Hard,4,High,High,Apply for Bachelor Degree in Electrical Engineering,electrical;engineer;engineering,MEng Electrical Engineering; MSc Power Systems Engineering; PhD in Electrical Engineering
28,Engineering,Electronic Engineer,Maths,A/L,Electronic Engineering; Embedded Systems; Computer Engineering,External Diploma,Junior Electronic Engineer,Electronic Engineer,Head of R&D,Altium;C;Microcontrollers;VHDL;DSP,Analytical Thinking;Attention to Detail;Collaboration,Electronic Circuits;Signal Processing;Embedded Systems,IESL Charter,High,High,75000,"200,000-1,500,000",Medium,Medium,Low,"Focuses on the design and development of electronic circuits and systems.",Hard,4,High,High,Apply for Bachelor Degree in Electronic Engineering / Computer Engineering,electronic;engineer;engineering,MEng Electronic Engineering; MSc Embedded Systems; PhD in Electronics
29,Engineering,Mechatronics Engineer,Maths,A/L,Mechatronics Engineering; Robotics Engineering; Control Systems,External Diploma,Junior Mechatronics Engineer,Mechatronics Engineer,Senior Engineer,PLC;Robotics;Sensors;Control Systems;C++,Analytical Thinking;Attention to Detail;Collaboration,Robotics;Sensors;Industrial Automation,IESL Charter,High,High,75000,"200,000-1,500,000",Medium,Medium,Low,"Combines mechanical, electronic, and computer engineering for intelligent system design.",Hard,4,High,High,Apply for Bachelor Degree in Mechatronics Engineering / Robotics Engineering,mechatronics;engineer;engineering,MEng Mechatronics Engineering; MSc Robotics; PhD in Mechatronics
30,Engineering,Industrial Engineer,Maths,A/L,Industrial Engineering; Operations Research,External Diploma,Trainee Industrial Engineer,Industrial Engineer,Operations Manager,Lean Six Sigma;ERP;Supply Chain Modeling;Minitab,Analytical Thinking;Problem Solving;Collaboration,Operations Research;Productivity;Plant Layout,Six Sigma Green/Black Belt,High,High,75000,"200,000-1,500,000",Medium,Medium,Low,"Optimizes complex processes and systems within manufacturing and service industries.",Hard,4,High,High,Apply for Bachelor Degree in Industrial Engineering / Operations Research,industrial;engineer;engineering,MSc Industrial Engineering; MBA (Operations Management); PhD in Industrial Engineering
31,Engineering,Chemical Engineer,Maths,A/L,Chemical Engineering; Process Engineering,External Diploma,Junior Chemical Engineer,Chemical Engineer,Senior Plant Engineer,Aspen HYSYS;Process Simulation;Safety Protocols;Chemistry,Analytical Thinking;Attention to Detail;Collaboration,Chemical Reactions;Heat Transfer;Safety Eng,IESL Charter,High,High,75000,"200,000-1,500,000",Medium,Medium,Low,"Develops and designs chemical manufacturing processes and ensures plant safety.",Hard,4,High,High,Apply for Bachelor Degree in Chemical Engineering / Process Engineering,chemical;engineer;engineering,MEng Chemical Engineering; MSc Process Engineering; PhD in Chemical Engineering
32,Engineering,Aerospace Engineer,Maths,A/L,Aerospace Engineering; Aeronautical Engineering; Mechanical Engineering,External Diploma,Junior Aerospace Engineer,Aerospace Engineer,Senior Engineer,CFD;Flight Mechanics;Matlab;SolidWorks,Analytical Thinking;Attention to Detail;Collaboration,Aerodynamics;Propulsion;Orbital Mechanics,IESL Charter,High,High,75000,"200,000-1,500,000",Medium,Medium,Low,"Designs aircraft, spacecraft, and related systems with a focus on aerodynamics.",Hard,4,High,High,Apply for Bachelor Degree in Aerospace Engineering / Mechanical Engineering,aerospace;engineer;engineering,MEng Aerospace Engineering; MSc Aeronautical Engineering; PhD in Aerospace Engineering
33,Engineering,Petroleum Engineer,Maths,A/L,Petroleum Engineering; Chemical Engineering; Mining Engineering,External Diploma,Junior Petroleum Engineer,Petroleum Engineer,Senior Engineer,Drilling;Reservoir Modeling;Geology;Fluid Flow,Analytical Thinking;Attention to Detail;Collaboration,Rock Mechanics;Phase Behavior;Drilling Tech,IESL Charter,High,High,75000,"200,000-1,500,000",Medium,Medium,Low,"Deals with the exploration and extraction of oil and natural gas from underground.",Hard,4,High,High,Apply for Bachelor Degree in Petroleum Engineering / Chemical Engineering,petroleum;engineer;engineering,MEng Petroleum Engineering; MSc Reservoir Engineering; PhD in Petroleum Engineering
34,Engineering,Geotechnical Engineer,Maths,A/L,Civil Engineering; Geological Engineering,External Diploma,Junior Geotechnical Engineer,Geotechnical Engineer,Senior Consultant,Plaxis;Soil Mechanics;Foundation Design;GIS,Analytical Thinking;Attention to Detail;Collaboration,Geo-Environmental Eng;Rock Eng,IESL Charter,High,High,75000,"200,000-1,500,000",Medium,Medium,Low,"Deals with the engineering behavior of earth materials and foundation designs.",Hard,4,High,High,Apply for Bachelor Degree in Civil Engineering / Geological Engineering,geotechnical;engineer;engineering,MSc Geotechnical Engineering; MEng Civil Engineering; PhD in Geotechnical Engineering
35,Engineering,Marine Engineer,Maths,A/L,Marine Engineering; Mechanical Engineering,External Diploma,Cadet Engineer,4th Engineer,Chief Engineer,Ship Systems;Naval Architecture;Maritime Law;Safety,Analytical Thinking;Physical Stamina;Collaboration,Ship Construction;Marine Power Plants,COC Class 1,High,High,75000,"200,000-1,500,000",Medium,Medium,Low,"Designs, develops, and maintains watercraft and marine-based structures and equipment.",Hard,4,High,High,Apply for Bachelor Degree in Marine Engineering / Mechanical Engineering,marine;engineer;engineering,MSc Marine Engineering; MEng Marine Technology; PhD in Naval Architecture
36,Engineering,Renewable Energy Engineer,Maths,A/L,Electrical Engineering; Energy Engineering; Sustainability,External Diploma,Junior Energy Engineer,Renewable Energy Engineer,Senior Consultant,PVsyst;Solar;Wind;Energy Audit;Grid Integration,Analytical Thinking;Attention to Detail;Collaboration,Energy Economics;Sustainability;Solar Thermal,Energy Auditor Certification,High,High,75000,"200,000-1,500,000",Medium,Medium,Low,"Focuses on developing sustainable energy systems like solar, wind, and bioenergy.",Hard,4,High,High,Apply for Bachelor Degree in Electrical / Energy Engineering,renewable;energy;engineer;engineering,MSc Renewable Energy Engineering; MSc Sustainable Energy Systems; PhD in Energy Engineering
37,Engineering,Automotive Engineer,Maths,A/L,Mechanical Engineering; Automotive Engineering,External Diploma,Junior Automotive Engineer,Automotive Engineer,Technical Manager,Vehicle Dynamics;CAD;Automotive Electronics;Diagnostics,Analytical Thinking;Attention to Detail;Collaboration,Chassis Design;Internal Combustion Engines,IESL Charter,High,High,75000,"200,000-1,500,000",Medium,Medium,Low,"Designs and develops engines and systems for and maintains automobiles and commercial vehicles.",Hard,4,High,High,Apply for Bachelor Degree in Mechanical / Automotive Engineering,automotive;engineer;engineering,MEng Automotive Engineering; MSc Vehicle Engineering; PhD in Automotive Engineering
38,Engineering,Manufacturing Engineer,Maths,A/L,Mechanical Engineering; Manufacturing Engineering,External Diploma,Junior Manufacturing Engineer,Manufacturing Engineer,Senior Executive,CNC;CAM;Lean Manufacturing;Quality Control,Analytical Thinking;Attention to Detail;Collaboration,Material Science;CAD/CAM;Hydraulics,Six Sigma Black Belt,High,High,75000,"200,000-1,500,000",Medium,Medium,Low,"Optimizes manufacturing processes to improve production efficiency and product quality.",Hard,4,High,High,Apply for Bachelor Degree in Mechanical / Manufacturing Engineering,manufacturing;engineer;engineering,MSc Manufacturing Engineering; MBA (Operations Management); PhD in Manufacturing Systems
39,Healthcare & Medical,Doctor / Physician,Biology,A/L,Medicine; Surgery,External Diploma,Medical Intern,Medical Officer,Consultant Specialist,Diagnosis;Patient Care;Medical Procedures;Pharmacology,Empathy;Resilience;Ethical Judgment;Active Listening,Anatomy;Physiology;Pathology;Biochemistry,SLMC Registration;ALS;BLS,High,High,60000,"300,000-2,000,000",Low,Medium,Low,"Diagnoses and treats illnesses, injuries, and other health conditions in patients.",Very Hard,6,High,High,Apply for MBBS Degree and complete internship,doctor;physician;medical;healthcare,MD in Clinical Specialty (PGIM Sri Lanka); MSc Clinical Medicine; PhD in Medicine
40,Healthcare & Medical,Dentist,Biology,A/L,Dental Surgery; Dentistry,External Diploma,Dental Intern,Medical Officer,Consultant Dentist,Oral Diagnosis;Surgery;Sterilization;Pharmacology,Empathy;Precision;Ethical Judgment,Oral Anatomy;Dental Materials;Surgery,SLMC Registration,High,High,85000,"300,000-2,000,000",Low,Medium,Low,"Specializes in the prevention and treatment of oral health issues and diseases.",Very Hard,5,High,High,Apply for Bachelor of Dental Surgery (BDS),dentist;healthcare;medical,MDS in Oral Medicine / Prosthodontics; PhD in Dental Sciences
41,Healthcare & Medical,Nurse,Biology,A/L,Nursing; Healthcare,External Diploma,Staff Nurse,Nursing Sister,Matron,Patient Care;IV Therapy;Clinical Monitoring;Wound Care,Empathy;Resilience;Communication;Active Listening,Anatomy;Pharmacology;Emergency Care,SLMC Registration,High,High,55000,"100,000-600,000",Low,Medium,Low,"Provides care to patients, administers medications, and assists doctors in treatments.",Very Hard,4,High,High,Apply for Bachelor Degree in Nursing or Nursing Diploma,nurse;healthcare;medical,MSc Nursing; ANP (Advanced Nursing Practice); PhD in Nursing Sciences
42,Healthcare & Medical,Pharmacist,Biology,A/L,Pharmacy; Pharmacology; Pharmaceutical Sciences,External Diploma,Pharmacist Trainee,Pharmacist,Senior Pharmacist,Drug Compounding;Counseling;Inventory;Regulation,Attention to Detail;Empathy;Ethics,Pharmacology;Pharmaceutics;Forensic Pharmacy,SLMC Registration,High,High,80000,"150,000-800,000",Low,Medium,Low,"Dispenses prescription medications and provides clinical drug information to patients.",Very Hard,4,High,High,Apply for Bachelor Degree in Pharmacy,pharmacist;healthcare;medical,MSc Clinical Pharmacy; MSc Pharmaceutical Sciences; PhD in Pharmacology
43,Healthcare & Medical,Radiologist,Biology,A/L,Medicine; Radiology; Medical Imaging,External Diploma,Medical Officer,Radiology Registrar,Consultant Radiologist,MRI;CT Scan;X-Ray;Interventional Radiology,Attention to Detail;Precision;Analysis,Medical Imaging;Nuclear Medicine,SLMC Board Certification,High,High,100000,"400,000-2,500,000",Low,Medium,Low,"Interprets medical images to diagnose and treat diseases or injuries.",Very Hard,8,High,High,Apply for MBBS Degree and specialize in Radiology,radiologist;healthcare;medical,MD Radiology Specialty (PGIM); MSc Medical Imaging; PhD in Radiology
44,Healthcare & Medical,Physiotherapist,Biology,A/L,Physiotherapy; Rehabilitation Science,External Diploma,Junior Physiotherapist,Physiotherapist,Senior Physiotherapist,Manual Therapy;Rehabilitation;Dry Needling;Ergonomics,Empathy;Physical Stamina;Patience,Anatomy;Kinesiology;Medical Physics,SLMC Registration,High,High,75000,"150,000-800,000",Low,Medium,Low,"Helps patients improve movement and manage pain through physical therapy techniques.",Very Hard,4,High,High,Apply for Bachelor Degree in Physiotherapy,physiotherapist;healthcare;medical,MSc Physiotherapy; MSc Sports & Rehabilitation Medicine; PhD in Physical Medicine
