id,education_level,stream_or_subject_interest,recommended_degree_or_course,career_field,entry_level_job,mid_level_job,senior_level_job,key_skills_required,recommended_soft_skills,typical_university_subjects,certifications_or_extra_training,industry_growth_in_sri_lanka,global_demand_level,average_starting_salary_lkr,future_salary_range_lkr,remote_work_possibility,freelance_opportunity,automation_risk,job_description
13,A/L Completed,Maths;ICT;Technology,BSc Information Technology,Software Engineering,Associate Software Engineer,Backend Engineer,Tech Lead,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,Moderate,High,123000,482000-960000,Yes,High,Low,"Designing and developing web, mobile, and enterprise software systems."
14,A/L Completed,Maths;ICT;Technology,BSc Artificial Intelligence,Software Engineering,Associate Software Engineer,Backend Engineer,Engineering Manager,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,Very High,Medium,126000,341000-1370000,Yes,High,Low,"Designing and developing web, mobile, and enterprise software systems."
15,Graduate,Maths;ICT;Technology,BSc Information Technology,Software Engineering,Junior Software Developer,Software Engineer,Engineering Manager,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,High,Very High,134000,305000-910000,Yes,High,Medium,"Designing and developing web, mobile, and enterprise software systems."
16,O/L Completed,Maths;ICT;Technology,NVQ Level 4 IT Technician,Software Engineering,Software Developer Trainee,Software Engineer,Engineering Manager,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,Moderate,High,103000,579000-1740000,Yes,High,Medium,"Designing and developing web, mobile, and enterprise software systems."
17,A/L Pending,Maths;ICT;Technology,Diploma in Information Technology,Software Engineering,Junior Software Developer,Software Engineer,Engineering Manager,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,Very High,Very High,94000,477000-1430000,Yes,High,Low,"Designing and developing web, mobile, and enterprise software systems."
18,O/L Completed,Maths;ICT;Technology,Foundation in IT,Software Engineering,Junior Software Developer,Full Stack Developer,Tech Lead,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,Moderate,High,97000,486000-1940000,Yes,High,Low,"Designing and developing web, mobile, and enterprise software systems."
19,Undergraduate,Maths;ICT;Technology,BSc Computer Science,Software Engineering,Junior Software Developer,Backend Engineer,Engineering Manager,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,High,High,124000,531000-1590000,Yes,High,Medium,"Designing and developing web, mobile, and enterprise software systems."
20,A/L Pending,Maths;ICT;Technology,Certificate in Programming,Software Engineering,Software Developer Trainee,Software Engineer,Engineering Manager,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,Very High,Very High,81000,485000-1940000,Yes,High,Medium,"Designing and developing web, mobile, and enterprise software systems."
21,O/L Completed,Maths;ICT;Technology,Foundation in IT,Software Engineering,Associate Software Engineer,Backend Engineer,Tech Lead,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,Very High,Very High,85000,491000-1470000,Yes,High,Medium,"Designing and developing web, mobile, and enterprise software systems."
22,Graduate,Maths;ICT;Technology,BSc Information Technology,Software Engineering,Associate Software Engineer,Backend Engineer,Software Architect,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,Moderate,Very High,144000,322000-970000,Yes,High,Medium,"Designing and developing web, mobile, and enterprise software systems."
23,Undergraduate,Maths;ICT;Technology,BSc Information Technology,Software Engineering,Junior Software Developer,Backend Engineer,Tech Lead,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,Very High,High,149000,351000-700000,Yes,High,Low,"Designing and developing web, mobile, and enterprise software systems."
24,A/L Completed,Maths;ICT;Technology,BSc Computer Science,Software Engineering,Software Developer Trainee,Software Engineer,Engineering Manager,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,High,Very High,86000,396000-1190000,Yes,High,Low,"Designing and developing web, mobile, and enterprise software systems."
25,Career Switcher,Maths;ICT;Technology,BSc Artificial Intelligence,Software Engineering,Associate Software Engineer,Full Stack Developer,Tech Lead,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,Moderate,Medium,118000,468000-940000,Yes,High,Low,"Designing and developing web, mobile, and enterprise software systems."
26,A/L Completed,Maths;ICT;Technology,BSc Computer Science,Software Engineering,Software Developer Trainee,Software Engineer,Software Architect,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,High,Very High,105000,444000-1330000,Yes,High,Medium,"Designing and developing web, mobile, and enterprise software systems."
27,Undergraduate,Maths;ICT;Technology,BSc Computer Science,Software Engineering,Junior Software Developer,Software Engineer,Tech Lead,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,High,Very High,116000,383000-1530000,Yes,High,Low,"Designing and developing web, mobile, and enterprise software systems."
28,Graduate,Maths;ICT;Technology,BSc Computer Science,Software Engineering,Junior Software Developer,Full Stack Developer,Tech Lead,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,Moderate,Medium,145000,457000-910000,Yes,High,Medium,"Designing and developing web, mobile, and enterprise software systems."
29,Undergraduate,Maths;ICT;Technology,BSc Information Technology,Software Engineering,Associate Software Engineer,Full Stack Developer,Tech Lead,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,High,Medium,132000,555000-2220000,Yes,High,Low,"Designing and developing web, mobile, and enterprise software systems."
30,O/L Completed,Maths;ICT;Technology,Diploma in Software Engineering,Software Engineering,Junior Software Developer,Full Stack Developer,Engineering Manager,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,Moderate,Very High,141000,497000-990000,Yes,High,Low,"Designing and developing web, mobile, and enterprise software systems."
31,A/L Completed,Maths;ICT;Technology,BSc Information Technology,Software Engineering,Associate Software Engineer,Backend Engineer,Tech Lead,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,Moderate,Medium,149000,541000-1620000,Yes,High,Low,"Designing and developing web, mobile, and enterprise software systems."
32,A/L Completed,Maths;ICT;Technology,BSc Artificial Intelligence,Software Engineering,Software Developer Trainee,Full Stack Developer,Engineering Manager,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,High,High,112000,555000-2220000,Yes,High,Medium,"Designing and developing web, mobile, and enterprise software systems."
33,Graduate,Maths;ICT;Technology,BSc Information Technology,Software Engineering,Junior Software Developer,Software Engineer,Engineering Manager,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,High,Medium,140000,413000-1650000,Yes,High,Low,"Designing and developing web, mobile, and enterprise software systems."
34,Undergraduate,Maths;ICT;Technology,BSc Artificial Intelligence,Software Engineering,Software Developer Trainee,Full Stack Developer,Tech Lead,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,High,High,125000,446000-1340000,Yes,High,Medium,"Designing and developing web, mobile, and enterprise software systems."
35,Diploma Holder,Maths;ICT;Technology,BSc Software Engineering,Software Engineering,Associate Software Engineer,Backend Engineer,Software Architect,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,High,Very High,126000,405000-1620000,Yes,High,Medium,"Designing and developing web, mobile, and enterprise software systems."
36,Undergraduate,Maths;ICT;Technology,BSc Information Technology,Software Engineering,Associate Software Engineer,Software Engineer,Engineering Manager,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,Very High,Very High,91000,460000-1380000,Yes,High,Medium,"Designing and developing web, mobile, and enterprise software systems."
37,A/L Completed,Maths;ICT;Technology,BSc Artificial Intelligence,Software Engineering,Associate Software Engineer,Full Stack Developer,Engineering Manager,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,High,Very High,118000,335000-1340000,Yes,High,Medium,"Designing and developing web, mobile, and enterprise software systems."
38,O/L Completed,Maths;ICT;Technology,Diploma in Information Technology,Software Engineering,Associate Software Engineer,Software Engineer,Tech Lead,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,Moderate,Medium,142000,420000-1680000,Yes,High,Medium,"Designing and developing web, mobile, and enterprise software systems."
39,A/L Completed,Maths;ICT;Technology,BSc Software Engineering,Software Engineering,Software Developer Trainee,Software Engineer,Software Architect,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,Moderate,Very High,122000,375000-1120000,Yes,High,Medium,"Designing and developing web, mobile, and enterprise software systems."
40,Undergraduate,Maths;ICT;Technology,BSc Artificial Intelligence,Software Engineering,Junior Software Developer,Backend Engineer,Software Architect,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,Very High,High,89000,326000-980000,Yes,High,Medium,"Designing and developing web, mobile, and enterprise software systems."
41,Undergraduate,Maths;ICT;Technology,BSc Artificial Intelligence,Software Engineering,Associate Software Engineer,Software Engineer,Software Architect,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,Moderate,Medium,125000,525000-2100000,Yes,High,Medium,"Designing and developing web, mobile, and enterprise software systems."
42,A/L Completed,Maths;ICT;Technology,BSc Software Engineering,Software Engineering,Junior Software Developer,Software Engineer,Engineering Manager,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,High,Very High,146000,410000-1640000,Yes,High,Low,"Designing and developing web, mobile, and enterprise software systems."
43,Undergraduate,Maths;ICT;Technology,BSc Artificial Intelligence,Software Engineering,Associate Software Engineer,Software Engineer,Software Architect,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,Moderate,Very High,131000,375000-1130000,Yes,High,Medium,"Designing and developing web, mobile, and enterprise software systems."
44,Career Switcher,Maths;ICT;Technology,BSc Computer Science,Software Engineering,Software Developer Trainee,Software Engineer,Engineering Manager,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,Moderate,Very High,91000,342000-1370000,Yes,High,Medium,"Designing and developing web, mobile, and enterprise software systems."
45,Graduate,Maths;ICT;Technology,BSc Artificial Intelligence,Software Engineering,Software Developer Trainee,Software Engineer,Engineering Manager,Programming;Python;Java;SQL;Git,Problem Solving;Critical Thinking;Teamwork;Communication,Algorithms;Data Structures;Databases,AWS Certified Developer;Azure Fundamentals;Scrum Master,High,Medium,97000,583000-2330000,Yes,High,Medium,"Designing and developing web, mobile, and enterprise software systems."
46,Diploma Holder,Maths;ICT;Science,Foundation in IT,Data Science,BI Analyst,Machine Learning Engineer,AI Research Scientist,Machine Learning;Python;SQL;Data Viz;Statistics,Analytical Thinking;Problem Solving;Attention to Detail;Communication,Probability;Linear Algebra;Big Data;Deep Learning,IBM Data Science;Google Data Analytics;AWS Machine Learning,High,Medium,141000,626000-2500000,Yes,High,Medium,Analyzing complex data sets to help companies make data-driven decisions and building predictive models.
47,Graduate,Maths;ICT;Science,BSc Statistics,Data Science,Junior Data Scientist,Machine Learning Engineer,Chief Data Officer,Machine Learning;Python;SQL;Data Viz;Statistics,Analytical Thinking;Problem Solving;Attention to Detail;Communication,Probability;Linear Algebra;Big Data;Deep Learning,IBM Data Science;Google Data Analytics;AWS Machine Learning,Moderate,Medium,179000,573000-2290000,Yes,High,Low,Analyzing complex data sets to help companies make data-driven decisions and building predictive models.
48,Graduate,Maths;ICT;Science,BSc Statistics,Data Science,Data Analyst,Data Engineer,Chief Data Officer,Machine Learning;Python;SQL;Data Viz;Statistics,Analytical Thinking;Problem Solving;Attention to Detail;Communication,Probability;Linear Algebra;Big Data;Deep Learning,IBM Data Science;Google Data Analytics;AWS Machine Learning,Moderate,High,160000,565000-1130000,Yes,High,Medium,Analyzing complex data sets to help companies make data-driven decisions and building predictive models.
49,Diploma Holder,Maths;ICT;Science,BSc Artificial Intelligence,Data Science,BI Analyst,Data Scientist,Senior Data Scientist,Machine Learning;Python;SQL;Data Viz;Statistics,Analytical Thinking;Problem Solving;Attention to Detail;Communication,Probability;Linear Algebra;Big Data;Deep Learning,IBM Data Science;Google Data Analytics;AWS Machine Learning,High,High,136000,565000-1130000,Yes,High,Medium,Analyzing complex data sets to help companies make data-driven decisions and building predictive models.
50,A/L Completed,Maths;ICT;Science,BSc Statistics,Data Science,Data Analyst,Machine Learning Engineer,AI Research Scientist,Machine Learning;Python;SQL;Data Viz;Statistics,Analytical Thinking;Problem Solving;Attention to Detail;Communication,Probability;Linear Algebra;Big Data;Deep Learning,IBM Data Science;Google Data Analytics;AWS Machine Learning,High,Medium,138000,542000-2170000,Yes,High,Medium,Analyzing complex data sets to help companies make data-driven decisions and building predictive models.
51,O/L Completed,Maths;ICT;Science,Foundation in IT,Data Science,Junior Data Scientist,Machine Learning Engineer,AI Research Scientist,Machine Learning;Python;SQL;Data Viz;Statistics,Analytical Thinking;Problem Solving;Attention to Detail;Communication,Probability;Linear Algebra;Big Data;Deep Learning,IBM Data Science;Google Data Analytics;AWS Machine Learning,Moderate,High,118000,449000-900000,Yes,High,Medium,Analyzing complex data sets to help companies make data-driven decisions and building predictive models.
52,O/L Completed,Maths;ICT;Science,Diploma in Data Analytics,Data Science,BI Analyst,Data Scientist,Senior Data Scientist,Machine Learning;Python;SQL;Data Viz;Statistics,Analytical Thinking;Problem Solving;Attention to Detail;Communication,Probability;Linear Algebra;Big Data;Deep Learning,IBM Data Science;Google Data Analytics;AWS Machine Learning,High,High,148000,626000-1250000,Yes,High,Medium,Analyzing complex data sets to help companies make data-driven decisions and building predictive models.
53,Diploma Holder,Maths;ICT;Science,BSc Data Science,Data Science,Junior Data Scientist,Data Engineer,AI Research Scientist,Machine Learning;Python;SQL;Data Viz;Statistics,Analytical Thinking;Problem Solving;Attention to Detail;Communication,Probability;Linear Algebra;Big Data;Deep Learning,IBM Data Science;Google Data Analytics;AWS Machine Learning,Moderate,Medium,113000,436000-1740000,Yes,High,Medium,Analyzing complex data sets to help companies make data-driven decisions and building predictive models.
54,Career Switcher,Maths;ICT;Science,BSc Data Science,Data Science,Junior Data Scientist,Data Engineer,AI Research Scientist,Machine Learning;Python;SQL;Data Viz;Statistics,Analytical Thinking;Problem Solving;Attention to Detail;Communication,Probability;Linear Algebra;Big Data;Deep Learning,IBM Data Science;Google Data Analytics;AWS Machine Learning,High,Very High,121000,510000-2040000,Yes,High,Medium,Analyzing complex data sets to help companies make data-driven decisions and building predictive models.
55,O/L Completed,Maths;ICT;Science,Diploma in Data Analytics,Data Science,Data Analyst,Data Engineer,AI Research Scientist,Machine Learning;Python;SQL;Data Viz;Statistics,Analytical Thinking;Problem Solving;Attention to Detail;Communication,Probability;Linear Algebra;Big Data;Deep Learning,IBM Data Science;Google Data Analytics;AWS Machine Learning,Very High,Very High,129000,509000-2040000,Yes,High,Medium,Analyzing complex data sets to help companies make data-driven decisions and building predictive models.
56,A/L Completed,Maths;ICT;Science,BSc Data Science,Data Science,Junior Data Scientist,Machine Learning Engineer,AI Research Scientist,Machine Learning;Python;SQL;Data Viz;Statistics,Analytical Thinking;Problem Solving;Attention to Detail;Communication,Probability;Linear Algebra;Big Data;Deep Learning,IBM Data Science;Google Data Analytics;AWS Machine Learning,Very High,High,107000,456000-910000,Yes,High,Low,Analyzing complex data sets to help companies make data-driven decisions and building predictive models.
57,A/L Pending,Maths;ICT;Science,NVQ Level 4 IT Assistant,Data Science,Data Analyst,Machine Learning Engineer,Senior Data Scientist,Machine Learning;Python;SQL;Data Viz;Statistics,Analytical Thinking;Problem Solving;Attention to Detail;Communication,Probability;Linear Algebra;Big Data;Deep Learning,IBM Data Science;Google Data Analytics;AWS Machine Learning,High,High,110000,403000-1210000,Yes,High,Low,Analyzing complex data sets to help companies make data-driven decisions and building predictive models.
58,Undergraduate,Maths;ICT;Science,BSc Statistics,Data Science,Junior Data Scientist,Machine Learning Engineer,Senior Data Scientist,Machine Learning;Python;SQL;Data Viz;Statistics,Analytical Thinking;Problem Solving;Attention to Detail;Communication,Probability;Linear Algebra;Big Data;Deep Learning,IBM Data Science;Google Data Analytics;AWS Machine Learning,High,Very High,134000,676000-2700000,Yes,High,Low,Analyzing complex data sets to help companies make data-driven decisions and building predictive models.
59,A/L Completed,Maths;ICT;Science,BSc Artificial Intelligence,Data Science,BI Analyst,Machine Learning Engineer,Chief Data Officer,Machine Learning;Python;SQL;Data Viz;Statistics,Analytical Thinking;Problem Solving;Attention to Detail;Communication,Probability;Linear Algebra;Big Data;Deep Learning,IBM Data Science;Google Data Analytics;AWS Machine Learning,Very High,Very High,120000,417000-1250000,Yes,High,Low,Analyzing complex data sets to help companies make data-driven decisions and building predictive models.
60,Undergraduate,Maths;ICT;Science,BSc Statistics,Data Science,Junior Data Scientist,Data Scientist,Chief Data Officer,Machine Learning;Python;SQL;Data Viz;Statistics,Analytical Thinking;Problem Solving;Attention to Detail;Communication,Probability;Linear Algebra;Big Data;Deep Learning,IBM Data Science;Google Data Analytics;AWS Machine Learning,High,Very High,117000,630000-1260000,Yes,High,Medium,Analyzing complex data sets to help companies make data-driven decisions and building predictive models.
61,A/L Pending,Maths;ICT;Science,BSc Data Science,Data Science,Data Analyst,Data Engineer,Chief Data Officer,Machine Learning;Python;SQL;Data Viz;Statistics,Analytical Thinking;Problem Solving;Attention to Detail;Communication,Probability;Linear Algebra;Big Data;Deep Learning,IBM Data Science;Google Data Analytics;AWS Machine Learning,Moderate,Medium,142000,462000-1390000,Yes,High,Medium,Analyzing complex data sets to help companies make data-driven decisions and building predictive models.
62,A/L Completed,Maths;ICT;Science,BSc Data Engineering,Data Science,Junior Data Scientist,Machine Learning Engineer,Chief Data Officer,Machine Learning;Python;SQL;Data Viz;Statistics,Analytical Thinking;Problem Solving;Attention to Detail;Communication,Probability;Linear Algebra;Big Data;Deep Learning,IBM Data Science;Google Data Analytics;AWS Machine Learning,Very High,Very High,114000,694000-2080000,Yes,High,Medium,Analyzing complex data sets to help companies make data-driven decisions and building predictive models.
63,Undergraduate,Maths;ICT;Science,BSc Data Engineering,Data Science,BI Analyst,Data Scientist,AI Research Scientist,Machine Learning;Python;SQL;Data Viz;Statistics,Analytical Thinking;Problem Solving;Attention to Detail;Communication,Probability;Linear Algebra;Big Data;Deep Learning,IBM Data Science;Google Data Analytics;AWS Machine Learning,Moderate,Very High,113000,415000-830000,Yes,High,Low,Analyzing complex data sets to help companies make data-driven decisions and building predictive models.
64,Graduate,Maths;ICT;Science,BSc Artificial Intelligence,Data Science,Data Analyst,Data Scientist,Senior Data Scientist,Machine Learning;Python;SQL;Data Viz;Statistics,Analytical Thinking;Problem Solving;Attention to Detail;Communication,Probability;Linear Algebra;Big Data;Deep Learning,IBM Data Science;Google Data Analytics;AWS Machine Learning,Moderate,Medium,148000,502000-1000000,Yes,High,Low,Analyzing complex data sets to help companies make data-driven decisions and building predictive models.
65,A/L Completed,Maths;ICT;Science,BSc Artificial Intelligence,Data Science,Junior Data Scientist,Data Engineer,Chief Data Officer,Machine Learning;Python;SQL;Data Viz;Statistics,Analytical Thinking;Problem Solving;Attention to Detail;Communication,Probability;Linear Algebra;Big Data;Deep Learning,IBM Data Science;Google Data Analytics;AWS Machine Learning,Very High,Medium,170000,627000-1250000,Yes,High,Medium,Analyzing complex data sets to help companies make data-driven decisions and building predictive models.
66,Career Switcher,Maths;ICT;Science,BSc Statistics,Data Science,Data Analyst,Machine Learning Engineer,Senior Data Scientist,Machine Learning;Python;SQL;Data Viz;Statistics,Analytical Thinking;Problem Solving;Attention to Detail;Communication,Probability;Linear Algebra;Big Data;Deep Learning,IBM Data Science;Google Data Analytics;AWS Machine Learning,Very High,Medium,158000,551000-1100000,Yes,High,Medium,Analyzing complex data sets to help companies make data-driven decisions and building predictive models.
